Equipment ID,Equipment Type,Purchase Date,Last Maintenance Date,Maintenance Status,Equipment Cost (CAD),Usage Hours,Location,Supplier,Warranty Expiry Date,Next Maintenance Due Date,Usage Days Since Last Maintenance,Usage Hours Since Last Maintenance,Time Since Last Maintenance (Days),Maintenance Frequency (Times),Failure History,Condition Rating,Failure Prediction (Target)
EQ01858,Seats,2017-06-04 0:00,2022-09-11 0:00,Under Repair,43154.48,8504,West Stand,Audio Visual Experts,2018-06-10 0:00,2018-12-07 0:00,351,8420,721,8,0,2,1
EQ01859,Audio System,2019-04-18 0:00,2015-12-09 0:00,Replaced,44754.86,4346,East Stand,Audio Visual Experts,2019-03-12 0:00,2019-06-22 0:00,180,4329,3189,8,0,8,0
EQ01860,Goalpost,2019-06-13 0:00,2016-12-10 0:00,Replaced,22876.46,3166,South Stand,Audio Visual Experts,2017-04-17 0:00,2019-03-17 0:00,131,3135,2822,3,0,9,0
EQ01861,Goalpost,2023-05-30 0:00,2015-08-12 0:00,Replaced,34171.6,3495,South Stand,Goalkeepers Inc.,2018-06-17 0:00,2018-11-22 0:00,139,3336,3308,7,0,8,0
EQ01862,Scoreboard,2018-12-13 0:00,2017-09-03 0:00,Replaced,19503.18,3224,West Stand,Audio Visual Experts,2016-12-12 0:00,2017-03-14 0:00,127,3059,2555,5,0,8,0
EQ01863,Cameras,2017-11-21 0:00,2016-03-19 0:00,Under Repair,47117.12,8351,North Stand,Sports Equipment Co.,2015-07-24 0:00,2017-03-18 0:00,348,8343,3088,2,0,1,1
EQ01864,Lighting System,2015-11-19 0:00,2019-12-15 0:00,Needs Repair,40398.12,6737,East Stand,Field Systems Ltd.,2015-01-21 0:00,2016-08-08 0:00,276,6615,1722,5,0,4,1
EQ01865,Scoreboard,2015-03-10 0:00,2015-11-21 0:00,Replaced,34924.73,2455,South Stand,Field Systems Ltd.,2017-08-16 0:00,2019-04-13 0:00,95,2277,3207,5,0,8,0
EQ01866,Turnstiles,2016-01-28 0:00,2021-08-31 0:00,Good,38627.87,5651,South Stand,Lighting Masters,2019-06-11 0:00,2019-04-06 0:00,228,5475,1097,7,0,7,0
EQ01867,Score Display,2018-07-26 0:00,2020-08-26 0:00,Needs Repair,8728.08,2135,North Stand,Goalkeepers Inc.,2017-12-30 0:00,2018-08-19 0:00,84,2018,1467,5,1,4,1
EQ01868,Score Display,2019-04-06 0:00,2016-03-18 0:00,Needs Repair,28078.8,7206,North Stand,Goalkeepers Inc.,2019-11-25 0:00,2016-12-24 0:00,296,7094,3089,9,0,4,1
EQ01869,Seats,2021-06-16 0:00,2021-05-06 0:00,Under Repair,38867.17,7783,East Stand,Lighting Masters,2016-11-20 0:00,2015-09-10 0:00,320,7672,1214,3,0,2,1
EQ01870,Lighting System,2021-07-19 0:00,2022-03-15 0:00,Needs Repair,43281.69,4657,West Stand,Audio Visual Experts,2016-07-13 0:00,2016-01-30 0:00,189,4542,901,9,0,5,0
EQ01871,Lighting System,2020-02-26 0:00,2015-09-19 0:00,Under Repair,42773.04,7416,North Stand,Field Systems Ltd.,2015-09-19 0:00,2015-12-02 0:00,307,7364,3270,6,0,2,1
EQ01872,Lighting System,2020-07-17 0:00,2020-03-18 0:00,Good,22318.54,876,Main Field,Lighting Masters,2017-10-26 0:00,2016-11-12 0:00,36,855,1628,7,0,7,0
EQ01873,Audio System,2016-07-07 0:00,2020-06-04 0:00,Good,39526.91,4359,North Stand,Audio Visual Experts,2015-03-03 0:00,2018-01-23 0:00,177,4241,1550,4,0,8,0
EQ01874,Lighting System,2023-05-02 0:00,2017-07-04 0:00,Replaced,48186.11,111,West Stand,Goalkeepers Inc.,2017-04-16 0:00,2017-04-12 0:00,3,70,2616,6,0,9,0
EQ01875,Cameras,2017-01-25 0:00,2023-09-11 0:00,Under Repair,6872.06,9168,South Stand,Audio Visual Experts,2019-01-14 0:00,2018-11-04 0:00,378,9074,356,6,0,2,1
EQ01876,Seats,2022-09-11 0:00,2021-01-22 0:00,Good,2177.25,6960,East Stand,Sports Equipment Co.,2019-10-06 0:00,2016-05-22 0:00,286,6855,1318,5,0,8,0
EQ01877,Scoreboard,2015-03-06 0:00,2019-11-29 0:00,Good,39601.42,5382,East Stand,Audio Visual Experts,2019-07-17 0:00,2015-04-10 0:00,218,5233,1738,9,0,9,0
EQ01878,Lighting System,2023-09-14 0:00,2021-06-01 0:00,Good,7861.63,1175,West Stand,Sports Equipment Co.,2016-08-10 0:00,2019-01-28 0:00,48,1161,1188,2,0,7,0
EQ01879,Scoreboard,2017-05-05 0:00,2020-02-25 0:00,Under Repair,45630.42,100,East Stand,Audio Visual Experts,2019-06-09 0:00,2015-05-27 0:00,4,95,1650,2,0,2,0
EQ01880,Turf Maintenance Machine,2015-05-02 0:00,2019-03-18 0:00,Under Repair,37338.79,6626,North Stand,Turf Solutions,2018-10-14 0:00,2017-05-26 0:00,271,6511,1994,9,0,1,1
EQ01881,Field Marking Equipment,2018-08-06 0:00,2024-07-06 0:00,Needs Repair,26290.58,9931,South Stand,Goalkeepers Inc.,2017-06-29 0:00,2016-09-04 0:00,412,9895,57,1,0,5,0
EQ01882,Scoreboard,2021-02-11 0:00,2017-07-19 0:00,Under Repair,23524.41,6716,North Stand,Field Systems Ltd.,2018-02-15 0:00,2015-11-01 0:00,278,6682,2601,9,0,1,1
EQ01883,Field Marking Equipment,2023-07-25 0:00,2020-09-13 0:00,Needs Repair,24737.61,4163,West Stand,Lighting Masters,2017-08-24 0:00,2015-04-05 0:00,166,3974,1449,8,0,5,0
EQ01884,Scoreboard,2017-06-15 0:00,2020-12-16 0:00,Under Repair,42378.87,8118,West Stand,Goalkeepers Inc.,2017-12-29 0:00,2015-05-30 0:00,335,8044,1355,5,0,1,1
EQ01885,Score Display,2022-04-23 0:00,2021-06-14 0:00,Needs Repair,48606.88,6028,West Stand,Turf Solutions,2016-03-30 0:00,2017-12-15 0:00,247,5918,1175,6,0,5,0
EQ01886,Goalpost,2018-02-08 0:00,2023-01-01 0:00,Good,10310.7,7541,North Stand,Goalkeepers Inc.,2016-01-04 0:00,2019-05-12 0:00,308,7398,609,5,0,7,0
EQ01887,Cameras,2022-04-30 0:00,2016-05-19 0:00,Under Repair,45754.59,4342,Main Field,Audio Visual Experts,2018-07-08 0:00,2017-12-31 0:00,175,4198,3027,7,0,2,1
EQ01888,Score Display,2022-02-12 0:00,2022-02-19 0:00,Good,21677.22,642,North Stand,Goalkeepers Inc.,2018-11-02 0:00,2016-11-28 0:00,20,470,925,7,1,7,0
EQ01889,Turnstiles,2020-11-25 0:00,2017-12-28 0:00,Good,39501.7,7925,South Stand,Audio Visual Experts,2019-02-08 0:00,2018-06-23 0:00,330,7920,2439,6,0,9,0
EQ01890,Turnstiles,2016-06-06 0:00,2019-03-25 0:00,Good,38622.21,9056,Main Field,Field Systems Ltd.,2015-08-07 0:00,2019-10-25 0:00,377,9047,1987,9,0,7,0
EQ01891,Field Marking Equipment,2016-02-15 0:00,2022-09-03 0:00,Good,11788.43,7881,North Stand,Sports Equipment Co.,2018-04-02 0:00,2015-04-05 0:00,321,7704,729,6,0,8,0
EQ01892,Lighting System,2024-01-03 0:00,2019-03-17 0:00,Good,13460.98,2074,East Stand,Lighting Masters,2019-10-28 0:00,2018-07-22 0:00,83,1983,1995,9,0,7,0
EQ01893,Turf Maintenance Machine,2018-11-24 0:00,2021-02-21 0:00,Good,49011.81,6705,West Stand,Sports Equipment Co.,2019-05-06 0:00,2018-12-11 0:00,278,6667,1288,4,0,7,0
EQ01894,Lighting System,2023-05-21 0:00,2019-07-27 0:00,Needs Repair,11775.82,5614,South Stand,Audio Visual Experts,2015-07-30 0:00,2019-04-11 0:00,230,5511,1863,2,0,5,0
EQ01895,Cameras,2024-01-14 0:00,2024-02-15 0:00,Replaced,37736.76,5677,West Stand,Audio Visual Experts,2019-10-13 0:00,2016-05-24 0:00,233,5590,199,7,0,9,0
EQ01896,Seats,2018-09-26 0:00,2020-10-06 0:00,Under Repair,26141.42,3541,Main Field,Goalkeepers Inc.,2016-08-04 0:00,2017-01-13 0:00,144,3460,1426,5,0,2,1
EQ01897,Scoreboard,2017-05-30 0:00,2022-04-07 0:00,Under Repair,12872.06,709,West Stand,Goalkeepers Inc.,2019-02-16 0:00,2017-03-27 0:00,29,704,878,5,0,2,1
EQ01898,Scoreboard,2023-06-16 0:00,2016-10-26 0:00,Replaced,675.2,8882,Main Field,Lighting Masters,2017-09-10 0:00,2016-07-07 0:00,365,8770,2867,7,0,9,0
EQ01899,Score Display,2016-02-23 0:00,2017-05-10 0:00,Under Repair,1248.43,9432,West Stand,Sports Equipment Co.,2018-08-22 0:00,2019-07-31 0:00,385,9242,2671,5,1,2,1
EQ01900,Lighting System,2019-04-30 0:00,2024-07-29 0:00,Needs Repair,31683.58,9334,North Stand,Goalkeepers Inc.,2019-09-11 0:00,2017-01-30 0:00,381,9143,34,5,0,5,0
EQ01901,Cameras,2018-09-25 0:00,2016-08-01 0:00,Needs Repair,17368.08,7244,Main Field,Field Systems Ltd.,2015-12-24 0:00,2017-11-11 0:00,299,7187,2953,9,0,5,0
EQ01902,Field Marking Equipment,2022-08-14 0:00,2018-09-09 0:00,Good,20304.29,3909,East Stand,Audio Visual Experts,2015-11-24 0:00,2017-03-24 0:00,157,3774,2184,1,0,9,0
EQ01903,Lighting System,2016-12-28 0:00,2018-11-10 0:00,Under Repair,30408.78,9595,North Stand,Lighting Masters,2018-02-24 0:00,2015-09-06 0:00,396,9500,2122,1,0,2,1
EQ01904,Field Marking Equipment,2015-11-27 0:00,2016-03-10 0:00,Replaced,7977.4,2903,South Stand,Audio Visual Experts,2017-01-13 0:00,2016-01-05 0:00,115,2753,3097,8,0,8,0
EQ01905,Goalpost,2021-02-25 0:00,2023-07-02 0:00,Needs Repair,2437.19,5952,Main Field,Audio Visual Experts,2015-12-01 0:00,2019-02-16 0:00,242,5813,427,7,0,4,1
EQ01906,Field Marking Equipment,2016-09-11 0:00,2024-07-08 0:00,Under Repair,576.05,5606,North Stand,Goalkeepers Inc.,2015-03-05 0:00,2017-09-10 0:00,228,5483,55,6,0,2,1
EQ01907,Cameras,2016-04-18 0:00,2020-09-28 0:00,Under Repair,49596.54,8943,East Stand,Field Systems Ltd.,2016-01-21 0:00,2018-06-26 0:00,371,8904,1434,9,0,1,1
EQ01908,Scoreboard,2022-05-28 0:00,2020-06-28 0:00,Under Repair,12286.25,6162,West Stand,Turf Solutions,2019-09-16 0:00,2019-08-10 0:00,255,6117,1526,1,0,1,1
EQ01909,Seats,2018-02-20 0:00,2019-10-01 0:00,Under Repair,12637.19,6587,Main Field,Turf Solutions,2018-12-27 0:00,2017-05-26 0:00,267,6399,1797,9,0,1,1
EQ01910,Turnstiles,2022-06-15 0:00,2018-02-20 0:00,Replaced,36207.83,2944,South Stand,Turf Solutions,2018-02-13 0:00,2018-10-15 0:00,116,2774,2385,3,0,9,0
EQ01911,Seats,2024-04-29 0:00,2019-07-19 0:00,Replaced,1768.24,6344,South Stand,Goalkeepers Inc.,2015-03-19 0:00,2019-05-12 0:00,258,6199,1871,8,0,8,0
EQ01912,Goalpost,2021-11-29 0:00,2022-03-12 0:00,Needs Repair,15507.45,8879,South Stand,Lighting Masters,2017-12-28 0:00,2019-09-03 0:00,362,8686,904,3,0,5,0
EQ01913,Cameras,2022-09-27 0:00,2018-11-28 0:00,Needs Repair,7308.03,9891,Main Field,Lighting Masters,2019-07-27 0:00,2017-02-26 0:00,405,9720,2104,9,1,4,1
EQ01914,Turnstiles,2020-05-24 0:00,2018-04-03 0:00,Good,10419.8,9061,East Stand,Turf Solutions,2015-12-14 0:00,2018-06-01 0:00,377,9059,2343,9,0,9,0
EQ01915,Goalpost,2017-03-01 0:00,2018-03-01 0:00,Good,33933.99,1421,East Stand,Audio Visual Experts,2019-07-31 0:00,2016-06-22 0:00,57,1358,2376,7,0,7,0
EQ01916,Field Marking Equipment,2023-04-30 0:00,2022-07-28 0:00,Under Repair,46278.34,2987,North Stand,Goalkeepers Inc.,2016-02-07 0:00,2018-05-24 0:00,124,2979,766,7,0,2,1
EQ01917,Goalpost,2022-01-07 0:00,2023-12-21 0:00,Replaced,30538.49,7355,Main Field,Lighting Masters,2019-09-10 0:00,2015-07-26 0:00,304,7300,255,8,0,9,0
EQ01918,Goalpost,2023-03-21 0:00,2024-01-11 0:00,Good,47648.47,8611,Main Field,Audio Visual Experts,2015-02-05 0:00,2016-05-24 0:00,355,8513,234,7,0,7,0
EQ01919,Cameras,2024-07-05 0:00,2023-09-15 0:00,Under Repair,31519.75,6946,North Stand,Field Systems Ltd.,2015-09-25 0:00,2015-07-28 0:00,289,6937,352,4,1,2,1
EQ01920,Cameras,2018-11-16 0:00,2020-06-20 0:00,Good,22183.99,8443,North Stand,Turf Solutions,2016-01-20 0:00,2015-08-19 0:00,344,8261,1534,9,0,9,0
EQ01921,Turf Maintenance Machine,2021-06-04 0:00,2019-11-19 0:00,Under Repair,38479.05,5045,South Stand,Lighting Masters,2016-02-22 0:00,2017-09-21 0:00,206,4932,1748,8,0,2,1
EQ01922,Turnstiles,2017-10-28 0:00,2023-11-23 0:00,Replaced,20292.35,7293,North Stand,Sports Equipment Co.,2017-05-04 0:00,2019-05-12 0:00,299,7169,283,7,0,9,0
EQ01923,Seats,2017-04-26 0:00,2018-06-12 0:00,Replaced,28445.1,702,East Stand,Lighting Masters,2019-07-31 0:00,2015-04-19 0:00,24,582,2273,1,0,9,0
EQ01924,Turnstiles,2024-07-15 0:00,2019-05-10 0:00,Under Repair,19417.85,6816,South Stand,Sports Equipment Co.,2018-02-16 0:00,2015-03-20 0:00,279,6684,1941,8,0,1,1
EQ01925,Seats,2015-11-21 0:00,2017-03-08 0:00,Needs Repair,42557.9,2803,West Stand,Sports Equipment Co.,2015-04-04 0:00,2017-02-10 0:00,111,2670,2734,7,1,5,0
EQ01926,Turf Maintenance Machine,2018-07-11 0:00,2019-08-19 0:00,Under Repair,37912.76,5665,South Stand,Field Systems Ltd.,2019-03-18 0:00,2016-07-07 0:00,233,5589,1840,8,0,2,1
EQ01927,Cameras,2016-05-10 0:00,2019-01-17 0:00,Good,3792.48,9088,Main Field,Lighting Masters,2016-05-25 0:00,2017-12-29 0:00,373,8954,2054,9,0,9,0
EQ01928,Seats,2017-07-26 0:00,2017-08-11 0:00,Good,9505.65,6212,South Stand,Turf Solutions,2015-06-30 0:00,2018-07-05 0:00,258,6194,2578,9,0,8,0
EQ01929,Turnstiles,2015-08-14 0:00,2015-01-24 0:00,Needs Repair,43992.2,8831,North Stand,Field Systems Ltd.,2018-05-23 0:00,2016-05-02 0:00,366,8777,3508,8,0,4,1
EQ01930,Cameras,2022-01-25 0:00,2018-08-12 0:00,Under Repair,23060.14,1707,North Stand,Field Systems Ltd.,2016-05-22 0:00,2016-08-12 0:00,69,1664,2212,4,0,1,1
EQ01931,Audio System,2020-06-11 0:00,2016-02-08 0:00,Under Repair,26055.21,5307,Main Field,Turf Solutions,2017-05-15 0:00,2016-06-19 0:00,219,5252,3128,9,0,2,1
EQ01932,Turnstiles,2022-06-15 0:00,2019-09-20 0:00,Needs Repair,17665.67,1672,South Stand,Goalkeepers Inc.,2019-08-03 0:00,2015-03-28 0:00,62,1489,1808,1,1,5,0
EQ01933,Score Display,2019-03-01 0:00,2024-07-04 0:00,Under Repair,25808.4,8775,East Stand,Field Systems Ltd.,2018-04-30 0:00,2019-04-21 0:00,365,8755,59,5,0,2,1
EQ01934,Seats,2015-10-21 0:00,2015-04-04 0:00,Under Repair,36391.26,2619,Main Field,Turf Solutions,2015-12-30 0:00,2018-07-17 0:00,107,2574,3438,8,0,2,1
EQ01935,Score Display,2016-11-23 0:00,2020-06-17 0:00,Good,1052.27,7315,West Stand,Turf Solutions,2017-11-09 0:00,2018-05-07 0:00,298,7149,1537,9,0,7,0
EQ01936,Score Display,2015-09-13 0:00,2016-10-28 0:00,Replaced,1165.19,9459,North Stand,Goalkeepers Inc.,2019-04-12 0:00,2018-03-20 0:00,389,9337,2865,6,0,8,0
EQ01937,Goalpost,2017-06-04 0:00,2017-03-01 0:00,Replaced,40394.85,4856,Main Field,Turf Solutions,2017-10-20 0:00,2015-02-12 0:00,202,4838,2741,7,0,8,0
EQ01938,Score Display,2017-12-10 0:00,2023-04-25 0:00,Needs Repair,34226.25,7020,West Stand,Field Systems Ltd.,2017-11-26 0:00,2018-10-05 0:00,289,6927,495,1,0,4,1
EQ01939,Audio System,2022-06-08 0:00,2015-01-22 0:00,Needs Repair,29660.75,1097,North Stand,Lighting Masters,2018-12-12 0:00,2015-04-08 0:00,44,1063,3510,9,0,5,0
EQ01940,Lighting System,2024-02-08 0:00,2018-05-15 0:00,Under Repair,47848.6,7111,North Stand,Turf Solutions,2015-12-17 0:00,2019-05-16 0:00,292,6999,2301,7,1,1,1
EQ01941,Turnstiles,2017-12-27 0:00,2022-07-13 0:00,Good,46690.19,464,East Stand,Field Systems Ltd.,2018-11-13 0:00,2017-10-05 0:00,14,336,781,2,0,8,0
EQ01942,Lighting System,2015-06-26 0:00,2022-12-16 0:00,Needs Repair,1478.11,8000,North Stand,Sports Equipment Co.,2015-01-19 0:00,2019-06-04 0:00,332,7956,625,5,0,5,0
EQ01943,Turf Maintenance Machine,2024-07-06 0:00,2020-02-24 0:00,Under Repair,4158.29,5614,East Stand,Turf Solutions,2015-02-09 0:00,2018-02-16 0:00,233,5597,1651,1,0,1,1
EQ01944,Cameras,2017-05-06 0:00,2015-01-18 0:00,Under Repair,35133.54,4983,South Stand,Sports Equipment Co.,2018-08-20 0:00,2017-11-02 0:00,204,4894,3514,2,0,2,1
EQ01945,Field Marking Equipment,2015-03-04 0:00,2023-12-17 0:00,Good,49084.87,9044,Main Field,Turf Solutions,2018-03-14 0:00,2019-03-17 0:00,374,8983,259,5,0,9,0
EQ01946,Scoreboard,2016-05-27 0:00,2017-08-24 0:00,Under Repair,41088.24,6673,Main Field,Goalkeepers Inc.,2016-12-01 0:00,2015-07-16 0:00,278,6670,2565,5,0,1,1
EQ01947,Scoreboard,2018-10-25 0:00,2019-11-04 0:00,Under Repair,19525.91,2664,West Stand,Goalkeepers Inc.,2019-07-03 0:00,2015-01-23 0:00,108,2580,1763,8,0,2,1
EQ01948,Lighting System,2023-10-27 0:00,2020-01-04 0:00,Under Repair,38721.02,2716,East Stand,Goalkeepers Inc.,2015-03-15 0:00,2017-08-21 0:00,108,2586,1702,4,0,1,1
EQ01949,Seats,2015-03-09 0:00,2022-08-24 0:00,Needs Repair,5379.57,2778,Main Field,Goalkeepers Inc.,2015-06-19 0:00,2017-12-20 0:00,114,2744,739,1,0,5,0
EQ01950,Score Display,2017-10-06 0:00,2020-09-18 0:00,Under Repair,36974.98,8898,West Stand,Audio Visual Experts,2015-01-21 0:00,2016-12-09 0:00,368,8841,1444,6,1,1,1
EQ01951,Score Display,2017-11-06 0:00,2020-07-02 0:00,Good,19922.87,9462,South Stand,Sports Equipment Co.,2015-06-24 0:00,2015-07-12 0:00,392,9407,1522,3,1,9,0
EQ01952,Seats,2017-05-16 0:00,2024-01-30 0:00,Under Repair,22910.14,7046,South Stand,Goalkeepers Inc.,2018-04-18 0:00,2018-09-22 0:00,293,7027,215,7,0,2,1
EQ01953,Cameras,2024-03-07 0:00,2021-06-15 0:00,Needs Repair,2033.3,8123,East Stand,Sports Equipment Co.,2018-03-30 0:00,2018-06-11 0:00,332,7967,1174,6,0,4,1
EQ01954,Field Marking Equipment,2016-02-22 0:00,2015-04-29 0:00,Needs Repair,25530.14,8482,Main Field,Goalkeepers Inc.,2018-06-05 0:00,2019-12-12 0:00,346,8295,3413,6,0,4,1
EQ01955,Goalpost,2022-04-11 0:00,2019-12-05 0:00,Under Repair,19584.51,2180,East Stand,Sports Equipment Co.,2015-01-05 0:00,2017-06-28 0:00,88,2121,1732,7,0,2,1
EQ01956,Audio System,2015-08-22 0:00,2016-06-26 0:00,Replaced,44686.49,2568,South Stand,Goalkeepers Inc.,2019-03-19 0:00,2018-08-06 0:00,101,2423,2989,6,0,8,0
EQ01957,Seats,2022-04-15 0:00,2022-05-30 0:00,Under Repair,1820.29,3743,South Stand,Goalkeepers Inc.,2017-07-07 0:00,2019-01-27 0:00,149,3575,825,9,0,1,1
EQ01958,Scoreboard,2017-11-09 0:00,2021-05-11 0:00,Needs Repair,14103.72,6821,North Stand,Audio Visual Experts,2015-08-14 0:00,2016-03-28 0:00,281,6740,1209,2,0,4,1
EQ01959,Cameras,2018-11-29 0:00,2021-05-23 0:00,Replaced,49586.42,4683,North Stand,Sports Equipment Co.,2018-12-31 0:00,2019-10-17 0:00,195,4672,1197,8,0,9,0
EQ01960,Turnstiles,2023-03-11 0:00,2021-09-15 0:00,Replaced,11644.28,9813,West Stand,Lighting Masters,2017-01-17 0:00,2017-08-12 0:00,404,9686,1082,1,0,9,0
EQ01961,Goalpost,2022-06-15 0:00,2019-11-01 0:00,Good,28511.23,1365,North Stand,Goalkeepers Inc.,2015-05-05 0:00,2018-10-01 0:00,49,1184,1766,5,1,9,0
EQ01962,Lighting System,2018-04-06 0:00,2015-11-30 0:00,Good,30732,5650,East Stand,Lighting Masters,2017-07-03 0:00,2016-03-30 0:00,233,5591,3198,3,0,9,0
EQ01963,Cameras,2015-10-03 0:00,2019-07-18 0:00,Under Repair,8942.6,5422,East Stand,Sports Equipment Co.,2017-09-18 0:00,2016-07-30 0:00,222,5335,1872,7,0,2,1
EQ01964,Field Marking Equipment,2019-03-19 0:00,2022-05-18 0:00,Needs Repair,3084.98,5845,East Stand,Field Systems Ltd.,2018-05-21 0:00,2019-07-10 0:00,239,5745,837,6,0,4,1
EQ01965,Score Display,2021-10-07 0:00,2016-01-01 0:00,Under Repair,46165.56,6805,West Stand,Field Systems Ltd.,2015-05-15 0:00,2018-05-13 0:00,279,6695,3166,2,0,1,1
EQ01966,Audio System,2016-08-23 0:00,2015-08-26 0:00,Needs Repair,4266.98,8420,South Stand,Lighting Masters,2015-11-11 0:00,2015-10-21 0:00,347,8329,3294,2,0,4,1
EQ01967,Cameras,2022-10-18 0:00,2021-07-26 0:00,Good,4959.86,2152,Main Field,Turf Solutions,2018-06-11 0:00,2017-12-11 0:00,89,2125,1133,3,0,9,0
EQ01968,Turf Maintenance Machine,2022-09-28 0:00,2016-08-20 0:00,Under Repair,17214.52,8396,Main Field,Field Systems Ltd.,2018-06-26 0:00,2019-05-13 0:00,347,8337,2934,9,1,1,1
EQ01969,Turnstiles,2016-08-27 0:00,2015-10-13 0:00,Under Repair,15484.93,2488,West Stand,Turf Solutions,2016-09-23 0:00,2018-10-11 0:00,98,2355,3246,7,1,2,1
EQ01970,Turnstiles,2018-09-30 0:00,2015-06-05 0:00,Good,21977.17,3098,West Stand,Lighting Masters,2016-03-09 0:00,2019-03-28 0:00,121,2915,3376,4,0,9,0
EQ01971,Seats,2018-06-20 0:00,2020-04-30 0:00,Good,7929.59,6893,South Stand,Field Systems Ltd.,2017-01-26 0:00,2015-10-26 0:00,281,6741,1585,8,0,7,0
EQ01972,Scoreboard,2017-05-29 0:00,2016-06-13 0:00,Needs Repair,41459.53,5844,South Stand,Lighting Masters,2017-08-22 0:00,2017-02-11 0:00,243,5827,3002,3,0,5,0
EQ01973,Turf Maintenance Machine,2021-01-08 0:00,2022-04-12 0:00,Under Repair,44765.53,7033,South Stand,Audio Visual Experts,2015-10-13 0:00,2016-04-09 0:00,292,7007,873,8,0,2,1
EQ01974,Cameras,2018-07-17 0:00,2023-12-12 0:00,Needs Repair,15992.06,2992,North Stand,Sports Equipment Co.,2016-11-15 0:00,2017-05-12 0:00,117,2807,264,2,1,4,1
EQ01975,Goalpost,2018-10-07 0:00,2016-07-10 0:00,Under Repair,4385.72,9599,East Stand,Turf Solutions,2016-07-15 0:00,2018-10-09 0:00,397,9527,2975,7,0,2,1
EQ01976,Cameras,2023-04-25 0:00,2015-09-01 0:00,Needs Repair,18656.39,2898,North Stand,Field Systems Ltd.,2015-05-09 0:00,2018-03-04 0:00,120,2877,3288,9,0,4,1
EQ01977,Scoreboard,2021-10-09 0:00,2019-07-09 0:00,Replaced,10984.01,6797,Main Field,Lighting Masters,2017-08-14 0:00,2018-01-02 0:00,283,6791,1881,7,0,8,0
EQ01978,Score Display,2021-09-19 0:00,2017-06-26 0:00,Good,19327.48,1464,Main Field,Turf Solutions,2016-09-04 0:00,2018-09-24 0:00,60,1447,2624,4,0,7,0
EQ01979,Cameras,2015-06-15 0:00,2021-06-04 0:00,Under Repair,13858.19,5953,East Stand,Turf Solutions,2016-07-07 0:00,2017-06-23 0:00,244,5865,1185,2,1,2,1
EQ01980,Goalpost,2017-04-10 0:00,2022-11-28 0:00,Good,667.72,6124,East Stand,Lighting Masters,2015-04-28 0:00,2016-09-29 0:00,255,6119,643,4,0,9,0
EQ01981,Lighting System,2024-04-04 0:00,2024-01-01 0:00,Needs Repair,4345.25,1605,West Stand,Goalkeepers Inc.,2018-10-15 0:00,2018-08-07 0:00,59,1412,244,8,0,4,1
EQ01982,Turnstiles,2024-05-22 0:00,2015-02-03 0:00,Good,18448.23,6181,Main Field,Goalkeepers Inc.,2018-02-14 0:00,2017-04-04 0:00,251,6026,3498,2,0,7,0
EQ01983,Seats,2020-07-23 0:00,2018-09-04 0:00,Needs Repair,11962.72,1723,East Stand,Field Systems Ltd.,2017-05-14 0:00,2018-06-22 0:00,69,1644,2189,1,0,5,0
EQ01984,Turf Maintenance Machine,2023-12-22 0:00,2020-02-11 0:00,Needs Repair,697.14,6142,West Stand,Lighting Masters,2016-03-13 0:00,2018-07-28 0:00,250,5995,1664,5,0,4,1
EQ01985,Goalpost,2017-09-11 0:00,2022-12-25 0:00,Replaced,13880.36,6856,West Stand,Lighting Masters,2019-01-12 0:00,2016-10-06 0:00,280,6710,616,9,0,8,0
EQ01986,Cameras,2016-08-26 0:00,2018-01-28 0:00,Needs Repair,12306.7,7213,Main Field,Lighting Masters,2015-08-02 0:00,2015-04-13 0:00,295,7087,2408,9,0,5,0
EQ01987,Turnstiles,2023-01-26 0:00,2018-05-11 0:00,Needs Repair,5406.7,4227,North Stand,Field Systems Ltd.,2016-02-16 0:00,2016-09-12 0:00,176,4225,2305,8,0,4,1
EQ01988,Goalpost,2018-04-03 0:00,2023-03-10 0:00,Under Repair,29775.29,694,Main Field,Audio Visual Experts,2018-02-04 0:00,2017-01-27 0:00,21,515,541,6,0,1,1
EQ01989,Cameras,2017-03-12 0:00,2021-09-19 0:00,Replaced,5517.83,1144,West Stand,Turf Solutions,2018-10-04 0:00,2017-02-07 0:00,47,1123,1078,1,0,8,0
EQ01990,Cameras,2021-09-07 0:00,2022-10-19 0:00,Replaced,48868.2,9218,Main Field,Goalkeepers Inc.,2017-07-07 0:00,2015-06-19 0:00,379,9096,683,7,0,9,0
EQ01991,Cameras,2015-04-06 0:00,2016-02-22 0:00,Good,34108.1,4858,East Stand,Goalkeepers Inc.,2019-04-12 0:00,2018-02-17 0:00,202,4854,3114,3,0,7,0
EQ01992,Lighting System,2018-01-09 0:00,2021-06-27 0:00,Good,3537.59,5708,East Stand,Goalkeepers Inc.,2015-06-17 0:00,2017-01-16 0:00,237,5678,1162,5,0,7,0
EQ01993,Cameras,2017-11-29 0:00,2020-03-30 0:00,Good,13099.06,9003,East Stand,Sports Equipment Co.,2018-05-20 0:00,2015-12-07 0:00,371,8913,1616,9,0,9,0
EQ01994,Audio System,2017-09-10 0:00,2020-03-10 0:00,Needs Repair,29372.78,7120,North Stand,Sports Equipment Co.,2018-06-26 0:00,2015-07-13 0:00,292,6996,1636,1,0,5,0
